Transcript	Gene
ENSDART00000139013	ENSDARG00000020395
ENSDART00000046542	ENSDARG00000034434
ENSDART00000134576	ENSDARG00000092290
ENSDART00000057733	ENSDARG00000039513
ENSDART00000137959	ENSDARG00000078970
ENSDART00000138128	ENSDARG00000093126
ENSDART00000060547	ENSDARG00000041311
ENSDART00000114715	ENSDARG00000073792
ENSDART00000034865	ENSDARG00000028131
ENSDART00000149821	ENSDARG00000062834
ENSDART00000005845	ENSDARG00000016794
ENSDART00000024064	ENSDARG00000014386
ENSDART00000113135	ENSDARG00000074734
ENSDART00000066097	ENSDARG00000044963
ENSDART00000137477	ENSDARG00000008906
ENSDART00000135770	ENSDARG00000002682
ENSDART00000060291	ENSDARG00000069274
ENSDART00000111302	ENSDARG00000079816
ENSDART00000123223	ENSDARG00000077968
ENSDART00000110066	ENSDARG00000055833
ENSDART00000064210	ENSDARG00000043727
ENSDART00000133587	ENSDARG00000058608
ENSDART00000142123	ENSDARG00000031533
ENSDART00000006840	ENSDARG00000015006
ENSDART00000023568	ENSDARG00000008022
ENSDART00000034707	ENSDARG00000025386
ENSDART00000124963	ENSDARG00000086471
ENSDART00000108928	ENSDARG00000078745
ENSDART00000132950	ENSDARG00000018918
ENSDART00000097864	ENSDARG00000052419
ENSDART00000121789	ENSDARG00000014599
ENSDART00000134848	ENSDARG00000051836
ENSDART00000135215	ENSDARG00000068575
ENSDART00000057047	ENSDARG00000026170
ENSDART00000134157	ENSDARG00000062045
ENSDART00000100791	ENSDARG00000069328
ENSDART00000111850	ENSDARG00000074098
ENSDART00000057052	ENSDARG00000039069
ENSDART00000106654	ENSDARG00000071868
ENSDART00000131227	ENSDARG00000076829
ENSDART00000149696	ENSDARG00000062727
ENSDART00000103644	ENSDARG00000007443
ENSDART00000129882	ENSDARG00000068415
ENSDART00000026152	ENSDARG00000010181
ENSDART00000144366	ENSDARG00000057238
ENSDART00000111542	ENSDARG00000079900
ENSDART00000141892	ENSDARG00000070055
ENSDART00000109644	ENSDARG00000035781
ENSDART00000134547	ENSDARG00000035978
ENSDART00000076693	ENSDARG00000054501
ENSDART00000135374	ENSDARG00000062248
ENSDART00000132727	ENSDARG00000069249
ENSDART00000111472	ENSDARG00000079015
ENSDART00000103776	ENSDARG00000053934
ENSDART00000004041	ENSDARG00000079934
ENSDART00000032877	ENSDARG00000022939
ENSDART00000133170	ENSDARG00000060415
ENSDART00000043522	ENSDARG00000034685
ENSDART00000105854	ENSDARG00000071548
ENSDART00000090942	ENSDARG00000062695
ENSDART00000015127	ENSDARG00000011837
ENSDART00000005625	ENSDARG00000016837
ENSDART00000086871	ENSDARG00000061145
ENSDART00000136936	ENSDARG00000041304
ENSDART00000145738	ENSDARG00000053571
ENSDART00000012826	ENSDARG00000013973
ENSDART00000144248	ENSDARG00000041728
ENSDART00000145307	ENSDARG00000039265
ENSDART00000024616	ENSDARG00000016396
ENSDART00000011785	ENSDARG00000018623
ENSDART00000098578	ENSDARG00000008979
ENSDART00000004771	ENSDARG00000021110
ENSDART00000146203	ENSDARG00000032237
ENSDART00000122709	ENSDARG00000005590
ENSDART00000112423	ENSDARG00000078036
ENSDART00000024925	ENSDARG00000045541
ENSDART00000132703	ENSDARG00000060207
ENSDART00000060426	ENSDARG00000041223
ENSDART00000088041	ENSDARG00000061610
ENSDART00000108852	ENSDARG00000074730
ENSDART00000100328	ENSDARG00000034056
ENSDART00000079618	ENSDARG00000026986
ENSDART00000147702	ENSDARG00000016263
ENSDART00000148892	ENSDARG00000026811
ENSDART00000146430	ENSDARG00000041839
ENSDART00000078888	ENSDARG00000056396
ENSDART00000113358	ENSDARG00000059760
ENSDART00000146005	ENSDARG00000053467
ENSDART00000065365	ENSDARG00000044513
ENSDART00000073704	ENSDARG00000056165
ENSDART00000111318	ENSDARG00000011281
ENSDART00000109219	ENSDARG00000074064
ENSDART00000088358	ENSDARG00000061718
ENSDART00000111039	ENSDARG00000075033
ENSDART00000132836	ENSDARG00000061690
ENSDART00000008170	ENSDARG00000042833
ENSDART00000145043	ENSDARG00000074909
ENSDART00000084597	ENSDARG00000060210
ENSDART00000141921	ENSDARG00000017748
ENSDART00000138523	ENSDARG00000060962
ENSDART00000092948	ENSDARG00000044083
ENSDART00000086375	ENSDARG00000060937
ENSDART00000065104	ENSDARG00000044327
ENSDART00000021298	ENSDARG00000005246
ENSDART00000125690	ENSDARG00000091678
ENSDART00000052030	ENSDARG00000035853
ENSDART00000053924	ENSDARG00000037099
ENSDART00000034287	ENSDARG00000024314
ENSDART00000020342	ENSDARG00000019038
ENSDART00000082256	ENSDARG00000059212
ENSDART00000104835	ENSDARG00000071062
ENSDART00000133547	ENSDARG00000060841
ENSDART00000145655	ENSDARG00000061916
ENSDART00000090356	ENSDARG00000062451
ENSDART00000024677	ENSDARG00000012816
ENSDART00000140856	ENSDARG00000032856
ENSDART00000132329	ENSDARG00000006869
ENSDART00000091850	ENSDARG00000063076
ENSDART00000139589	ENSDARG00000070231
ENSDART00000028247	ENSDARG00000021569
ENSDART00000139327	ENSDARG00000061010
ENSDART00000018868	ENSDARG00000018491
ENSDART00000091638	ENSDARG00000062977
ENSDART00000062185	ENSDARG00000042410
ENSDART00000000160	ENSDARG00000000151
ENSDART00000136074	ENSDARG00000004396
ENSDART00000113890	ENSDARG00000061213
ENSDART00000053026	ENSDARG00000036500
ENSDART00000091683	ENSDARG00000063003
ENSDART00000085945	ENSDARG00000060748
ENSDART00000035432	ENSDARG00000008757
ENSDART00000144562	ENSDARG00000007976
ENSDART00000150719	ENSDARG00000075252
ENSDART00000138162	ENSDARG00000060297
ENSDART00000035400	ENSDARG00000026048
ENSDART00000129495	ENSDARG00000089828
ENSDART00000133022	ENSDARG00000079281
ENSDART00000145130	ENSDARG00000091714
ENSDART00000132920	ENSDARG00000037517
ENSDART00000134976	ENSDARG00000093833
ENSDART00000054659	ENSDARG00000037537
ENSDART00000137022	ENSDARG00000062511
ENSDART00000027428	ENSDARG00000011662
ENSDART00000098438	ENSDARG00000068187
ENSDART00000006085	ENSDARG00000009958
ENSDART00000149842	ENSDARG00000035771
ENSDART00000080174	ENSDARG00000057491
ENSDART00000139174	ENSDARG00000010437
ENSDART00000098691	ENSDARG00000040635
ENSDART00000037027	ENSDARG00000025648
ENSDART00000134125	ENSDARG00000077075
ENSDART00000053933	ENSDARG00000053496
ENSDART00000142297	ENSDARG00000057863
ENSDART00000026800	ENSDARG00000006862
ENSDART00000039028	ENSDARG00000024311
ENSDART00000099701	ENSDARG00000041951
ENSDART00000101885	ENSDARG00000094201
ENSDART00000123343	ENSDARG00000020079
ENSDART00000131582	ENSDARG00000092158
ENSDART00000086765	ENSDARG00000061095
ENSDART00000008920	ENSDARG00000014340
ENSDART00000016090	ENSDARG00000003584
ENSDART00000146651	ENSDARG00000062302
ENSDART00000083134	ENSDARG00000059657
ENSDART00000123962	ENSDARG00000093841
ENSDART00000027443	ENSDARG00000006422
ENSDART00000148777	ENSDARG00000070319
ENSDART00000078336	ENSDARG00000055965
ENSDART00000127109	ENSDARG00000087166
ENSDART00000064219	ENSDARG00000043734
ENSDART00000124333	ENSDARG00000091342
ENSDART00000074309	ENSDARG00000052455
ENSDART00000061758	ENSDARG00000021288
ENSDART00000144283	ENSDARG00000006112
ENSDART00000133223	ENSDARG00000070393
ENSDART00000102328	ENSDARG00000023840
ENSDART00000133501	ENSDARG00000094478
ENSDART00000041740	ENSDARG00000024229
ENSDART00000134682	ENSDARG00000076092
ENSDART00000005857	ENSDARG00000020982
ENSDART00000006927	ENSDARG00000007250
ENSDART00000132096	ENSDARG00000033901
ENSDART00000085061	ENSDARG00000060398
ENSDART00000102553	ENSDARG00000010789
ENSDART00000029889	ENSDARG00000016519
ENSDART00000051515	ENSDARG00000035532
ENSDART00000110698	ENSDARG00000079452
ENSDART00000054977	ENSDARG00000003699
ENSDART00000146914	ENSDARG00000056892
ENSDART00000128253	ENSDARG00000089700
ENSDART00000051234	ENSDARG00000056218
ENSDART00000029699	ENSDARG00000035565
ENSDART00000114762	ENSDARG00000075113
ENSDART00000060111	ENSDARG00000041019
ENSDART00000054591	ENSDARG00000037491
ENSDART00000067262	ENSDARG00000045754
ENSDART00000139073	ENSDARG00000012460
ENSDART00000044937	ENSDARG00000029511
ENSDART00000014274	ENSDARG00000005095
ENSDART00000108753	ENSDARG00000092043
ENSDART00000138555	ENSDARG00000023900
ENSDART00000099794	ENSDARG00000068893
ENSDART00000051973	ENSDARG00000035819
ENSDART00000075750	ENSDARG00000041727
ENSDART00000142862	ENSDARG00000091967
ENSDART00000013082	ENSDARG00000018788
ENSDART00000090368	ENSDARG00000062460
ENSDART00000144237	ENSDARG00000088260
ENSDART00000042297	ENSDARG00000031971
ENSDART00000100611	ENSDARG00000069244
ENSDART00000135124	ENSDARG00000034883
ENSDART00000058007	ENSDARG00000039681
ENSDART00000080116	ENSDARG00000070606
ENSDART00000075502	ENSDARG00000053466
ENSDART00000020297	ENSDARG00000002060
ENSDART00000077914	ENSDARG00000008366
ENSDART00000087001	ENSDARG00000061195
ENSDART00000091252	ENSDARG00000062837
ENSDART00000148385	ENSDARG00000095966
ENSDART00000078610	ENSDARG00000056163
ENSDART00000059035	ENSDARG00000028715
ENSDART00000150232	ENSDARG00000011370
ENSDART00000091595	ENSDARG00000062965
ENSDART00000149086	ENSDARG00000023396
ENSDART00000060134	ENSDARG00000041040
ENSDART00000078499	ENSDARG00000056078
ENSDART00000134937	ENSDARG00000009764
ENSDART00000006673	ENSDARG00000004130
ENSDART00000006748	ENSDARG00000014474
ENSDART00000147317	ENSDARG00000074662
ENSDART00000142104	ENSDARG00000087369
ENSDART00000038228	ENSDARG00000027966
ENSDART00000080408	ENSDARG00000057688
ENSDART00000135855	ENSDARG00000035433
ENSDART00000087729	ENSDARG00000061504
ENSDART00000078000	ENSDARG00000055613
ENSDART00000014970	ENSDARG00000005544
ENSDART00000140798	ENSDARG00000078571
ENSDART00000059212	ENSDARG00000040455
ENSDART00000113797	ENSDARG00000077101
ENSDART00000017391	ENSDARG00000021047
ENSDART00000002449	ENSDARG00000006889
ENSDART00000041697	ENSDARG00000013841
ENSDART00000138460	ENSDARG00000068919
ENSDART00000090534	ENSDARG00000062518
ENSDART00000113899	ENSDARG00000076552
ENSDART00000020808	ENSDARG00000017703
ENSDART00000043452	ENSDARG00000030512
ENSDART00000142927	ENSDARG00000031047
ENSDART00000061729	ENSDARG00000042120
ENSDART00000060729	ENSDARG00000041428
ENSDART00000089408	ENSDARG00000062109
ENSDART00000029824	ENSDARG00000039125
ENSDART00000149855	ENSDARG00000012196
ENSDART00000027624	ENSDARG00000007734
ENSDART00000031535	ENSDARG00000022934
ENSDART00000067305	ENSDARG00000045785
ENSDART00000080201	ENSDARG00000057513
ENSDART00000074604	ENSDARG00000052703
ENSDART00000086651	ENSDARG00000061067
ENSDART00000131372	ENSDARG00000059630
ENSDART00000009698	ENSDARG00000018814
ENSDART00000109582	ENSDARG00000075898
ENSDART00000075270	ENSDARG00000053257
ENSDART00000040756	ENSDARG00000029259
ENSDART00000012963	ENSDARG00000016463
ENSDART00000108476	ENSDARG00000077357
ENSDART00000086867	ENSDARG00000061143
ENSDART00000143160	ENSDARG00000016897
ENSDART00000129397	ENSDARG00000057053
ENSDART00000136374	ENSDARG00000071413
ENSDART00000103524	ENSDARG00000034956
ENSDART00000015996	ENSDARG00000005974
ENSDART00000130879	ENSDARG00000015374
ENSDART00000105362	ENSDARG00000052522
ENSDART00000091070	ENSDARG00000062757
ENSDART00000080110	ENSDARG00000057435
ENSDART00000133497	ENSDARG00000092169
ENSDART00000007249	ENSDARG00000028819
ENSDART00000138243	ENSDARG00000014430
ENSDART00000000804	ENSDARG00000043406
ENSDART00000136287	ENSDARG00000095241
ENSDART00000039717	ENSDARG00000020929
ENSDART00000102463	ENSDARG00000070040
ENSDART00000133537	ENSDARG00000083189
ENSDART00000149024	ENSDARG00000003069
ENSDART00000151766	ENSDARG00000021163
ENSDART00000114679	ENSDARG00000073734
ENSDART00000050478	ENSDARG00000034443
ENSDART00000048891	ENSDARG00000031489
ENSDART00000058513	ENSDARG00000039996
ENSDART00000047020	ENSDARG00000004325
ENSDART00000097580	ENSDARG00000067752
ENSDART00000148639	ENSDARG00000087180
ENSDART00000075414	ENSDARG00000053386
ENSDART00000089853	ENSDARG00000062269
ENSDART00000082496	ENSDARG00000059386
ENSDART00000148788	ENSDARG00000034503
ENSDART00000146174	ENSDARG00000058461
ENSDART00000141977	ENSDARG00000075887
ENSDART00000128591	ENSDARG00000052124
ENSDART00000006079	ENSDARG00000020009
ENSDART00000128718	ENSDARG00000025766
ENSDART00000144672	ENSDARG00000005606
ENSDART00000138527	ENSDARG00000005049
ENSDART00000127402	ENSDARG00000041337
ENSDART00000151950	ENSDARG00000056121
ENSDART00000149475	ENSDARG00000054023
ENSDART00000146529	ENSDARG00000060192
ENSDART00000131976	ENSDARG00000002912
ENSDART00000021985	ENSDARG00000074485
ENSDART00000097973	ENSDARG00000060346
ENSDART00000042486	ENSDARG00000029975
ENSDART00000148138	ENSDARG00000032188
ENSDART00000104118	ENSDARG00000029331
ENSDART00000111853	ENSDARG00000063069
ENSDART00000048206	ENSDARG00000030465
ENSDART00000123350	ENSDARG00000018976
ENSDART00000035150	ENSDARG00000024933
ENSDART00000097732	ENSDARG00000015707
ENSDART00000064149	ENSDARG00000043685
ENSDART00000111388	ENSDARG00000075158
ENSDART00000059907	ENSDARG00000040871
ENSDART00000028406	ENSDARG00000009677
ENSDART00000074004	ENSDARG00000036451
ENSDART00000144516	ENSDARG00000078567
ENSDART00000133898	ENSDARG00000031116
ENSDART00000023153	ENSDARG00000015968
ENSDART00000056649	ENSDARG00000038789
ENSDART00000129154	ENSDARG00000042727
ENSDART00000005331	ENSDARG00000001930
ENSDART00000055170	ENSDARG00000037865
ENSDART00000088419	ENSDARG00000061738
ENSDART00000104791	ENSDARG00000071044
ENSDART00000091497	ENSDARG00000062919
ENSDART00000132297	ENSDARG00000010070
ENSDART00000010550	ENSDARG00000009113
ENSDART00000056921	ENSDARG00000005458
ENSDART00000060034	ENSDARG00000040966
ENSDART00000109926	ENSDARG00000076592
ENSDART00000022484	ENSDARG00000015917
ENSDART00000101726	ENSDARG00000069745
ENSDART00000148346	ENSDARG00000002994
ENSDART00000082260	ENSDARG00000059209
ENSDART00000111774	ENSDARG00000077728
ENSDART00000139411	ENSDARG00000028896
ENSDART00000066897	ENSDARG00000045486
ENSDART00000104271	ENSDARG00000070805
ENSDART00000080770	ENSDARG00000057997
ENSDART00000103626	ENSDARG00000002377
ENSDART00000063621	ENSDARG00000043339
ENSDART00000043162	ENSDARG00000031382
ENSDART00000085989	ENSDARG00000069278
ENSDART00000136274	ENSDARG00000093216
ENSDART00000002463	ENSDARG00000008765
ENSDART00000144430	ENSDARG00000056410
ENSDART00000034935	ENSDARG00000004460
ENSDART00000020967	ENSDARG00000012818
ENSDART00000056679	ENSDARG00000038812
ENSDART00000106205	ENSDARG00000071699
ENSDART00000131957	ENSDARG00000040332
ENSDART00000084730	ENSDARG00000060259
ENSDART00000093266	ENSDARG00000070413
ENSDART00000066783	ENSDARG00000045416
ENSDART00000130338	ENSDARG00000011570
ENSDART00000088881	ENSDARG00000061915
ENSDART00000006120	ENSDARG00000003250
ENSDART00000100075	ENSDARG00000045147
ENSDART00000036419	ENSDARG00000021547
ENSDART00000074256	ENSDARG00000052423
ENSDART00000000552	ENSDARG00000000529
ENSDART00000080114	ENSDARG00000057438
ENSDART00000131721	ENSDARG00000061752
ENSDART00000023763	ENSDARG00000016528
ENSDART00000129926	ENSDARG00000086911
ENSDART00000079117	ENSDARG00000056601
ENSDART00000075277	ENSDARG00000053260
ENSDART00000101000	ENSDARG00000069409
ENSDART00000053925	ENSDARG00000037101
ENSDART00000141165	ENSDARG00000054473
ENSDART00000056666	ENSDARG00000038801
ENSDART00000145210	ENSDARG00000035607
ENSDART00000085021	ENSDARG00000060383
ENSDART00000054440	ENSDARG00000037409
ENSDART00000124957	ENSDARG00000041904
ENSDART00000079251	ENSDARG00000056717
ENSDART00000092783	ENSDARG00000063474
ENSDART00000135000	ENSDARG00000091900
ENSDART00000132278	ENSDARG00000042557
ENSDART00000103701	ENSDARG00000025754
ENSDART00000142611	ENSDARG00000011445
ENSDART00000002225	ENSDARG00000015831
ENSDART00000084598	ENSDARG00000070097
ENSDART00000110364	ENSDARG00000073773
ENSDART00000114508	ENSDARG00000014866
ENSDART00000101943	ENSDARG00000069829
ENSDART00000077785	ENSDARG00000055433
ENSDART00000134661	ENSDARG00000036494
ENSDART00000076101	ENSDARG00000000384
ENSDART00000032861	ENSDARG00000036826
ENSDART00000139479	ENSDARG00000060366
ENSDART00000006443	ENSDARG00000011000
ENSDART00000143121	ENSDARG00000078654
ENSDART00000137678	ENSDARG00000058020
ENSDART00000146258	ENSDARG00000056381
ENSDART00000147593	ENSDARG00000006604
ENSDART00000112550	ENSDARG00000077364
ENSDART00000083340	ENSDARG00000059722
ENSDART00000037541	ENSDARG00000027465
ENSDART00000063832	ENSDARG00000043480
ENSDART00000061265	ENSDARG00000041802
ENSDART00000004043	ENSDARG00000006877
ENSDART00000084861	ENSDARG00000060316
ENSDART00000013797	ENSDARG00000003383
ENSDART00000017850	ENSDARG00000020986
ENSDART00000066604	ENSDARG00000045289
ENSDART00000012758	ENSDARG00000015657
ENSDART00000041412	ENSDARG00000008904
ENSDART00000052474	ENSDARG00000036136
ENSDART00000150739	ENSDARG00000045749
ENSDART00000092324	ENSDARG00000063297
ENSDART00000146144	ENSDARG00000093597
ENSDART00000003475	ENSDARG00000020191
ENSDART00000019521	ENSDARG00000005350
ENSDART00000049676	ENSDARG00000018165
ENSDART00000035538	ENSDARG00000039997
ENSDART00000021682	ENSDARG00000017312
ENSDART00000135008	ENSDARG00000054344
ENSDART00000056962	ENSDARG00000039020
ENSDART00000025324	ENSDARG00000011925
ENSDART00000133578	ENSDARG00000093985
ENSDART00000140330	ENSDARG00000093192
ENSDART00000128237	ENSDARG00000077818
ENSDART00000136726	ENSDARG00000025974
ENSDART00000142251	ENSDARG00000078136
ENSDART00000136243	ENSDARG00000036994
ENSDART00000146103	ENSDARG00000074447
ENSDART00000074567	ENSDARG00000012741
ENSDART00000105823	ENSDARG00000071524
ENSDART00000074384	ENSDARG00000052518
ENSDART00000055742	ENSDARG00000038225
ENSDART00000043156	ENSDARG00000033566
ENSDART00000012399	ENSDARG00000013861
ENSDART00000087684	ENSDARG00000061468
ENSDART00000103879	ENSDARG00000070618
ENSDART00000086211	ENSDARG00000052388
ENSDART00000051526	ENSDARG00000035546
ENSDART00000136265	ENSDARG00000070621
ENSDART00000144812	ENSDARG00000077442
ENSDART00000035779	ENSDARG00000026682
ENSDART00000007189	ENSDARG00000010300
ENSDART00000038929	ENSDARG00000028415
ENSDART00000138030	ENSDARG00000003582
ENSDART00000055154	ENSDARG00000037857
ENSDART00000066782	ENSDARG00000045415
ENSDART00000060938	ENSDARG00000069302
ENSDART00000052712	ENSDARG00000036293
ENSDART00000131300	ENSDARG00000000935
ENSDART00000110458	ENSDARG00000079252
ENSDART00000058485	ENSDARG00000039974
ENSDART00000079253	ENSDARG00000056713
ENSDART00000137293	ENSDARG00000055629
ENSDART00000140771	ENSDARG00000009493
ENSDART00000101054	ENSDARG00000056005
ENSDART00000144401	ENSDARG00000041734
ENSDART00000132736	ENSDARG00000076153
ENSDART00000136046	ENSDARG00000077513
ENSDART00000078525	ENSDARG00000056102
ENSDART00000051614	ENSDARG00000035605
ENSDART00000131992	ENSDARG00000094899
ENSDART00000059255	ENSDARG00000040487
ENSDART00000024313	ENSDARG00000009524
ENSDART00000039187	ENSDARG00000028559
ENSDART00000053380	ENSDARG00000036764
ENSDART00000007797	ENSDARG00000007180
ENSDART00000012191	ENSDARG00000013117
ENSDART00000079138	ENSDARG00000056623
ENSDART00000021672	ENSDARG00000007485
ENSDART00000002938	ENSDARG00000008592
ENSDART00000113582	ENSDARG00000042791
ENSDART00000109284	ENSDARG00000075000
ENSDART00000130467	ENSDARG00000052859
ENSDART00000131434	ENSDARG00000059843
ENSDART00000062094	ENSDARG00000042341
ENSDART00000137655	ENSDARG00000011783
ENSDART00000123445	ENSDARG00000035074
ENSDART00000103733	ENSDARG00000070568
ENSDART00000054575	ENSDARG00000037484
ENSDART00000110267	ENSDARG00000003910
ENSDART00000137556	ENSDARG00000016866
ENSDART00000005883	ENSDARG00000014995
ENSDART00000150489	ENSDARG00000060921
ENSDART00000003618	ENSDARG00000089644
ENSDART00000151351	ENSDARG00000030753
ENSDART00000035859	ENSDARG00000023267
ENSDART00000073527	ENSDARG00000033889
ENSDART00000128609	ENSDARG00000011583
ENSDART00000085505	ENSDARG00000060586
ENSDART00000081317	ENSDARG00000090222
ENSDART00000110892	ENSDARG00000058939
ENSDART00000132564	ENSDARG00000020204
ENSDART00000077641	ENSDARG00000055295
ENSDART00000061633	ENSDARG00000042054
ENSDART00000063157	ENSDARG00000043021
ENSDART00000059053	ENSDARG00000040350
ENSDART00000074574	ENSDARG00000052668
ENSDART00000110839	ENSDARG00000078585
ENSDART00000064463	ENSDARG00000043898
ENSDART00000023977	ENSDARG00000009745
ENSDART00000028044	ENSDARG00000016474
ENSDART00000052805	ENSDARG00000036345
ENSDART00000023064	ENSDARG00000007886
ENSDART00000136776	ENSDARG00000054301
ENSDART00000139178	ENSDARG00000026680
ENSDART00000139805	ENSDARG00000013528
ENSDART00000104222	ENSDARG00000043431
ENSDART00000102662	ENSDARG00000070131
ENSDART00000022132	ENSDARG00000016594
ENSDART00000100134	ENSDARG00000069042
ENSDART00000139055	ENSDARG00000020279
ENSDART00000054690	ENSDARG00000037556
ENSDART00000134066	ENSDARG00000014039
ENSDART00000098503	ENSDARG00000068210
ENSDART00000113215	ENSDARG00000075570
ENSDART00000059636	ENSDARG00000040707
ENSDART00000037999	ENSDARG00000021899
ENSDART00000050969	ENSDARG00000035184
ENSDART00000030984	ENSDARG00000023152
ENSDART00000139432	ENSDARG00000010941
ENSDART00000146772	ENSDARG00000076703
ENSDART00000085135	ENSDARG00000060438
ENSDART00000002992	ENSDARG00000009868
ENSDART00000122349	ENSDARG00000043055
ENSDART00000144068	ENSDARG00000037199
ENSDART00000104252	ENSDARG00000070795
ENSDART00000113843	ENSDARG00000055510
ENSDART00000006439	ENSDARG00000020373
ENSDART00000008589	ENSDARG00000025788
ENSDART00000114873	ENSDARG00000078315
ENSDART00000136289	ENSDARG00000061723
ENSDART00000133937	ENSDARG00000037276
ENSDART00000056074	ENSDARG00000038422
ENSDART00000060935	ENSDARG00000041565
ENSDART00000079866	ENSDARG00000057272
ENSDART00000131237	ENSDARG00000074481
ENSDART00000139267	ENSDARG00000058679
ENSDART00000133661	ENSDARG00000060580
ENSDART00000113735	ENSDARG00000078546
ENSDART00000133959	ENSDARG00000003631
ENSDART00000129895	ENSDARG00000007818
ENSDART00000113702	ENSDARG00000078458
ENSDART00000147499	ENSDARG00000055292
ENSDART00000022135	ENSDARG00000018130
ENSDART00000050559	ENSDARG00000070470
ENSDART00000143765	ENSDARG00000042031
ENSDART00000134146	ENSDARG00000059604
ENSDART00000142569	ENSDARG00000042232
ENSDART00000033018	ENSDARG00000013881
ENSDART00000151429	ENSDARG00000044949
ENSDART00000033817	ENSDARG00000027046
ENSDART00000076229	ENSDARG00000054087
ENSDART00000057386	ENSDARG00000039279
ENSDART00000150118	ENSDARG00000061472
ENSDART00000078128	ENSDARG00000055737
ENSDART00000047662	ENSDARG00000009142
ENSDART00000087111	ENSDARG00000054973
ENSDART00000016370	ENSDARG00000009783
